clave,insumo,familia,subfamilia,unidad
32039,BAÑO DE ARTESA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
13919,BAÑO MARIA,Maquinaria y Equipo,Equipos Varios (Maquinaria y Equipo),PIEZAS
27270,BEARING WHEEL,Herramientas y Utiles,Accesorios,PIEZAS
16798,BENGALA DE MANO,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
16799,BENGALA DE PARACAIDAS,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
14482,BICHERO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
21857,BICICLETA ANTIGUA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
2572,BIDON,Gastos diversos,Varios (Gastos Diversos),PIEZAS
16613,BIELA RECONS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
23471,BIELAS ISX,Equipo de Transporte,Sistema de Motor,PIEZAS
16521,BINOCULARES,Gastos diversos,Varios (Gastos Diversos),PIEZAS
26048,BIOMAA ANTICLORO PENTABIOCARE,Gastos diversos,Varios (Gastos Diversos),LITROS
25933,BIOMBO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
2197,BIOMETRICO,Equipo de Computo,Accesorios de cómputo,PIEZAS
2388,BIRLOS,Equipo de Transporte,Sistema de ejes,PIEZAS
31444,BISEL UNIDAD DERECHO,Equipo de Transporte,Accesorios,PIEZAS
